pair,style_i_topo_j,style_j_topo_i,abs_diff
decentralized ↔ hybrid,0.4444444444444444,0.24444444444444444,0.19999999999999998
sas ↔ hybrid,0.4,0.2222222222222222,0.1777777777777778
independent ↔ hybrid,0.3888888888888889,0.24444444444444444,0.14444444444444446
centralized ↔ hybrid,0.45555555555555555,0.32222222222222224,0.1333333333333333
sas ↔ decentralized,0.28888888888888886,0.2222222222222222,0.06666666666666665
sas ↔ centralized,0.2777777777777778,0.24444444444444444,0.033333333333333354
sas ↔ independent,0.2777777777777778,0.25555555555555554,0.022222222222222254
independent ↔ decentralized,0.26666666666666666,0.25555555555555554,0.011111111111111127
centralized ↔ decentralized,0.28888888888888886,0.3,0.011111111111111127
independent ↔ centralized,0.28888888888888886,0.28888888888888886,0.0
